 Year,Month,Producer Type,Fuel (D Code),FuelCategory,RINs,Volume
2022,6,Domestic,D5,Naphtha (EV 1.5),"6,388,852","4,259,231"
2022,6,Domestic,D5,Non-cellulosic Ethanol (EV 1.0),"2,536,364","2,536,364"
2022,6,Domestic,D5,LPG (EV 1.1),"498,104","452,822"
2022,6,Domestic,D5,Naphtha (EV 1.4),"186,967","133,548"
2022,6,Domestic,D5,Renewable Heating Oil (EV 1.6),"144,753","90,471"
2022,6,Domestic,D5,Renewable Compressed Natural Gas,"71,031","71,031"
2022,6,Domestic,D6,Non-cellulosic Ethanol (EV 1.0),"1,285,218,955","1,285,218,955"
2022,6,Foreign Generation,D6,Non-ester Renewable Diesel (EV 1.7),"5,466,256","3,215,445"
2022,6,Importer,D6,Non-cellulosic Ethanol (EV 1.0),"1,186,039","1,186,039"
2022,6,Importer,D7,Cellulosic Heating Oil (EV application required),"102,065","102,065"
2022,7,Domestic,D3,Renewable Compressed Natural Gas,"44,093,008","44,093,008"
2022,7,Domestic,D3,Renewable Liquefied Natural Gas,"7,939,544","7,939,544"
2022,7,Importer,D3,Renewable Compressed Natural Gas,"2,864,410","2,864,410"
2022,7,Domestic,D3,Cellulosic Ethanol (EV 1.0),"228,367","228,367"
2022,7,Importer,D3,Renewable Liquefied Natural Gas,"33,341","33,341"
2022,7,Domestic,D4,Biodiesel (EV 1.5),"206,321,364","137,545,866"
2022,7,Domestic,D4,Non-ester Renewable Diesel (EV 1.7),"176,497,961","103,822,288"
2022,7,Foreign Generation,D4,Non-ester Renewable Diesel (EV 1.7),"19,681,058","11,577,093"
2022,7,Importer,D4,Biodiesel (EV 1.5),"13,073,576","8,715,707"
2022,7,Foreign Generation,D4,Non-ester Renewable Diesel (EV 1.6),"3,696,974","2,310,609"
2022,7,Domestic,D4,Renewable Jet Fuel (EV 1.6),"1,820,757","1,137,973"
2022,7,Domestic,D4,Non-ester Renewable Diesel (EV 1.6),"586,430","366,519"
2022,7,Domestic,D5,Non-ester Renewable Diesel (EV 1.7),"8,137,445","4,786,731"
2022,7,Domestic,D5,Naphtha (EV 1.5),"7,093,788","4,729,189"
2022,7,Domestic,D5,Non-cellulosic Ethanol (EV 1.0),"2,377,142","2,377,142"
2022,7,Importer,D5,Non-cellulosic Ethanol (EV 1.0),"2,348,368","2,348,368"
2022,7,Domestic,D5,LPG (EV 1.1),"570,253","518,411"
2022,7,Domestic,D5,Naphtha (EV 1.4),"164,065","117,189"
2022,7,Domestic,D5,Renewable Compressed Natural Gas,"51,846","51,846"
2022,7,Domestic,D6,Non-cellulosic Ethanol (EV 1.0),"1,204,369,135","1,204,369,135"
2022,7,Foreign Generation,D6,Non-ester Renewable Diesel (EV 1.7),"6,236,673","3,668,631"
2022,7,Importer,D6,Non-cellulosic Ethanol (EV 1.0),"1,299,629","1,299,629"
2022,8,Domestic,D3,Renewable Compressed Natural Gas,"51,613,593","51,613,593"
2022,8,Domestic,D3,Renewable Liquefied Natural Gas,"6,610,857","6,610,857"
2022,8,Importer,D3,Renewable Compressed Natural Gas,"2,029,041","2,029,041"
2022,8,Importer,D3,Renewable Liquefied Natural Gas,"1,162,900","1,162,900"
2022,8,Domestic,D3,Cellulosic Ethanol (EV 1.0),"142,473","142,473"
2022,8,Domestic,D4,Biodiesel (EV 1.5),"227,752,481","151,833,118"
2022,8,Domestic,D4,Non-ester Renewable Diesel (EV 1.7),"195,495,373","114,997,212"
2022,8,Importer,D4,Biodiesel (EV 1.5),"22,905,023","15,269,993"
2022,8,Foreign Generation,D4,Non-ester Renewable Diesel (EV 1.7),"19,441,981","11,436,459"
2022,8,Foreign Generation,D4,Non-ester Renewable Diesel (EV 1.6),"5,356,333","3,347,708"
2022,8,Foreign Generation,D4,Renewable Jet Fuel (EV 1.6),"2,635,191","1,646,994"
2022,8,Domestic,D4,Renewable Jet Fuel (EV 1.6),"628,109","392,568"
2022,8,Domestic,D5,Non-ester Renewable Diesel (EV 1.7),"12,327,962","7,251,742"
2022,8,Domestic,D5,Naphtha (EV 1.5),"11,102,300","7,401,530"
2022,8,Importer,D5,Non-cellulosic Ethanol (EV 1.0),"8,397,241","8,397,241"
2022,8,Domestic,D5,Non-cellulosic Ethanol (EV 1.0),"2,438,601","2,438,601"
2022,8,Domestic,D5,Renewable Heating Oil (EV 1.6),"329,330","205,832"
2022,8,Domestic,D5,LPG (EV 1.1),"194,479","176,799"
2022,8,Domestic,D5,Renewable Compressed Natural Gas,"62,165","62,165"
2022,8,Domestic,D6,Non-cellulosic Ethanol (EV 1.0),"1,265,634,580","1,265,634,580"
2022,8,Foreign Generation,D6,Non-ester Renewable Diesel (EV 1.7),"3,339,016","1,964,127"
2022,8,Importer,D6,Non-cellulosic Ethanol (EV 1.0),"1,330,253","1,330,253"
2022,8,Importer,D7,Cellulosic Heating Oil (EV application required),"30,374","30,374"
2022,9,Domestic,D3,Renewable Compressed Natural Gas,"48,251,690","48,251,690"
2022,9,Domestic,D3,Renewable Liquefied Natural Gas,"7,095,726","7,095,726"
2022,9,Importer,D3,Renewable Compressed Natural Gas,"1,997,694","1,997,694"
2022,9,Importer,D3,Renewable Liquefied Natural Gas,"1,199,806","1,199,806"
2022,9,Domestic,D3,Cellulosic Ethanol (EV 1.0),"143,328","143,328"
2022,9,Domestic,D4,Biodiesel (EV 1.5),"212,794,117","141,860,945"
2022,9,Domestic,D4,Non-ester Renewable Diesel (EV 1.7),"201,820,259","118,717,748"
2022,9,Foreign Generation,D4,Non-ester Renewable Diesel (EV 1.7),"58,434,071","34,372,983"
2022,9,Importer,D4,Biodiesel (EV 1.5),"28,637,120","19,091,391"
2022,9,Domestic,D4,Renewable Jet Fuel (EV 1.6),"629,714","393,571"
2022,9,Domestic,D5,Non-ester Renewable Diesel (EV 1.7),"15,122,570","8,895,630"
2022,9,Importer,D5,Non-cellulosic Ethanol (EV 1.0),"9,130,925","9,130,925"
2022,9,Domestic,D5,Naphtha (EV 1.5),"7,406,428","4,937,616"
2022,9,Domestic,D5,Non-cellulosic Ethanol (EV 1.0),"2,332,869","2,332,869"
2022,9,Domestic,D5,LPG (EV 1.1),"708,518","644,107"
2022,9,Domestic,D5,Naphtha (EV 1.4),"265,441","189,601"
2022,9,Domestic,D5,Renewable Heating Oil (EV 1.6),"172,969","108,106"
2022,9,Domestic,D5,Renewable Compressed Natural Gas,"71,465","71,465"
2022,9,Domestic,D6,Non-cellulosic Ethanol (EV 1.0),"1,116,140,898","1,116,140,898"
2022,9,Foreign Generation,D6,Non-ester Renewable Diesel (EV 1.7),"13,139,069","7,728,864"
2022,9,Importer,D6,Non-cellulosic Ethanol (EV 1.0),"1,189,662","1,189,662"
2022,9,Importer,D7,Cellulosic Heating Oil (EV application required),"11,086","11,086"
2022,10,Domestic,D3,Renewable Compressed Natural Gas,"49,626,850","49,626,850"
2022,10,Domestic,D3,Renewable Liquefied Natural Gas,"6,787,534","6,787,534"
2022,10,Importer,D3,Renewable Compressed Natural Gas,"2,019,647","2,019,647"
2022,10,Importer,D3,Renewable Liquefied Natural Gas,"1,231,457","1,231,457"
2022,10,Domestic,D3,Cellulosic Ethanol (EV 1.0),"28,784","28,784"
2022,10,Domestic,D4,Biodiesel (EV 1.5),"207,062,845","138,040,230"
2022,10,Domestic,D4,Non-ester Renewable Diesel (EV 1.7),"182,443,495","107,319,656"
2022,10,Foreign Generation,D4,Non-ester Renewable Diesel (EV 1.7),"54,286,238","31,933,081"
2022,10,Importer,D4,Biodiesel (EV 1.5),"25,996,486","17,330,959"
2022,10,Foreign Generation,D4,Non-ester Renewable Diesel (EV 1.6),"3,547,656","2,217,285"
2022,10,Domestic,D4,Renewable Jet Fuel (EV 1.6),"2,823,410","1,764,631"
2022,10,Domestic,D4,Non-ester Renewable Diesel (EV 1.6),"1,070,683","669,177"
2022,10,Importer,D5,Non-cellulosic Ethanol (EV 1.0),"17,831,309","17,831,309"
2022,10,Domestic,D5,Non-ester Renewable Diesel (EV 1.7),"9,674,462","5,690,860"
2022,10,Domestic,D5,Naphtha (EV 1.5),"8,958,344","5,972,224"
2022,10,Domestic,D5,Non-cellulosic Ethanol (EV 1.0),"2,374,934","2,374,934"
2022,10,Domestic,D5,LPG (EV 1.1),"302,221","274,746"
2022,10,Domestic,D5,Renewable Heating Oil (EV 1.6),"239,107","149,442"
2022,10,Domestic,D5,Renewable Compressed Natural Gas,"70,406","70,406"
2022,10,Domestic,D6,Non-cellulosic Ethanol (EV 1.0),"1,214,405,352","1,214,405,352"
2022,10,Foreign Generation,D6,Non-ester Renewable Diesel (EV 1.7),"22,296,878","13,115,811"
2022,10,Importer,D6,Non-cellulosic Ethanol (EV 1.0),"1,222,050","1,222,050"
2022,11,Domestic,D3,Renewable Compressed Natural Gas,"48,964,891","48,964,891"
2022,11,Domestic,D3,Renewable Liquefied Natural Gas,"6,863,778","6,863,778"
2022,11,Importer,D3,Renewable Compressed Natural Gas,"3,288,585","3,288,585"
2022,11,Importer,D3,Renewable Liquefied Natural Gas,"125,974","125,974"
2022,11,Domestic,D4,Non-ester Renewable Diesel (EV 1.7),"254,280,115","149,576,473"
2022,11,Domestic,D4,Biodiesel (EV 1.5),"211,945,708","141,295,576"
2022,11,Importer,D4,Biodiesel (EV 1.5),"50,726,138","33,817,396"
2022,11,Foreign Generation,D4,Non-ester Renewable Diesel (EV 1.7),"39,155,652","23,032,737"
2022,11,Domestic,D4,Non-ester Renewable Diesel (EV 1.6),"22,574,898","14,109,311"
2022,11,Foreign Generation,D4,Non-ester Renewable Diesel (EV 1.6),"3,224,832","2,015,520"
2022,11,Domestic,D4,Renewable Jet Fuel (EV 1.6),"243,562","152,226"
2022,11,Domestic,D4,Renewable Heating Oil (EV 1.6),"41,398","25,874"
2022,11,Domestic,D5,Non-ester Renewable Diesel (EV 1.7),"13,773,827","8,102,250"
2022,11,Domestic,D5,Naphtha (EV 1.5),"10,838,894","7,225,923"
2022,11,Importer,D5,Non-cellulosic Ethanol (EV 1.0),"9,712,376","9,712,376"
2022,11,Domestic,D5,Non-cellulosic Ethanol (EV 1.0),"2,172,050","2,172,050"
2022,11,Domestic,D5,Renewable Heating Oil (EV 1.6),"355,058","221,910"
2022,11,Domestic,D5,LPG (EV 1.1),"185,067","168,243"
2022,11,Domestic,D5,Renewable Compressed Natural Gas,"61,227","61,227"
2022,11,Domestic,D5,Naphtha (EV 1.4),"35,325","25,232"
2022,11,Domestic,D6,Non-cellulosic Ethanol (EV 1.0),"1,250,759,684","1,250,759,684"
2022,11,Foreign Generation,D6,Non-ester Renewable Diesel (EV 1.7),"16,742,264","9,848,391"
2022,11,Importer,D6,Non-cellulosic Ethanol (EV 1.0),"1,189,598","1,189,598"
2022,12,Domestic,D3,Renewable Compressed Natural Gas,"96,326,322","96,326,322"
2022,12,Domestic,D3,Renewable Liquefied Natural Gas,"13,543,812","13,543,812"
2022,12,Importer,D3,Renewable Compressed Natural Gas,"4,463,342","4,463,342"
2022,12,Importer,D3,Renewable Liquefied Natural Gas,"1,929,277","1,929,277"
2022,12,Domestic,D3,Cellulosic Ethanol (EV 1.0),"277,529","277,529"
2022,12,Domestic,D4,Biodiesel (EV 1.5),"218,390,327","145,592,193"
2022,12,Domestic,D4,Non-ester Renewable Diesel (EV 1.7),"206,776,979","121,633,469"
2022,12,Importer,D4,Biodiesel (EV 1.5),"64,513,358","43,008,881"
2022,12,Foreign Generation,D4,Non-ester Renewable Diesel (EV 1.7),"54,605,829","32,121,076"
2022,12,Domestic,D4,Non-ester Renewable Diesel (EV 1.6),"36,725,282","22,953,301"
2022,12,Foreign Generation,D4,Renewable Jet Fuel (EV 1.6),"2,309,266","1,443,291"
2022,12,Foreign Generation,D4,Non-ester Renewable Diesel (EV 1.6),"877,632","548,520"
2022,12,Domestic,D4,Renewable Heating Oil (EV 1.6),"470,863","294,289"
2022,12,Domestic,D4,Renewable Jet Fuel (EV 1.6),"160,888","100,555"
2022,12,Domestic,D5,Non-ester Renewable Diesel (EV 1.7),"15,593,063","9,172,390"
2022,12,Importer,D5,Non-cellulosic Ethanol (EV 1.0),"11,746,584","11,746,584"
2022,12,Domestic,D5,Naphtha (EV 1.5),"10,647,231","7,098,149"
2022,12,Domestic,D5,Non-cellulosic Ethanol (EV 1.0),"2,347,973","2,347,973"
2022,12,Domestic,D5,LPG (EV 1.1),"1,029,097","935,542"
2022,12,Domestic,D5,Naphtha (EV 1.4),"401,168","286,549"
2022,12,Domestic,D5,Renewable Heating Oil (EV 1.6),"182,886","114,305"
2022,12,Domestic,D5,Renewable Compressed Natural Gas,"134,652","134,652"
2022,12,Domestic,D6,Non-cellulosic Ethanol (EV 1.0),"1,193,088,014","1,193,088,014"
2022,12,Foreign Generation,D6,Non-ester Renewable Diesel (EV 1.7),"18,566,373","10,921,396"
2022,12,Importer,D6,Non-cellulosic Ethanol (EV 1.0),"1,287,796","1,287,796"
2022,12,Importer,D7,Cellulosic Heating Oil (EV application required),"33,897","33,897"
2023,1,Domestic,D3,Renewable Compressed Natural Gas,"1,964,428","1,964,428"
2023,1,Domestic,D3,Renewable Liquefied Natural Gas,"604,446","604,446"
2023,1,Domestic,D4,Non-ester Renewable Diesel (EV 1.7),"195,805,071","115,179,403"
2023,1,Domestic,D4,Biodiesel (EV 1.5),"179,324,312","119,548,309"
2023,1,Foreign Generation,D4,Non-ester Renewable Diesel (EV 1.7),"57,003,812","33,531,654"
2023,1,Domestic,D4,Non-ester Renewable Diesel (EV 1.6),"47,104,794","29,440,496"
2023,1,Importer,D4,Biodiesel (EV 1.5),"36,873,751","24,582,474"
2023,1,Foreign Generation,D4,Non-ester Renewable Diesel (EV 1.6),"6,987,973","4,367,483"
2023,1,Domestic,D4,Renewable Jet Fuel (EV 1.6),"161,499","100,937"
2023,1,Domestic,D5,Naphtha (EV 1.5),"7,791,870","5,194,575"
2023,1,Domestic,D5,Non-ester Renewable Diesel (EV 1.7),"6,219,410","3,658,476"
2023,1,Domestic,D5,Non-cellulosic Ethanol (EV 1.0),"2,395,622","2,395,622"
2023,1,Domestic,D5,Renewable Heating Oil (EV 1.6),"228,976","143,111"
2023,1,Domestic,D5,Renewable Compressed Natural Gas,"45,290","45,290"
2023,1,Domestic,D6,Non-cellulosic Ethanol (EV 1.0),"1,200,969,763","1,200,969,763"
2023,1,Foreign Generation,D6,Non-ester Renewable Diesel (EV 1.7),"14,648,996","8,617,057"
2023,1,Importer,D6,Non-cellulosic Ethanol (EV 1.0),"1,105,522","1,105,522"
